C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.08CEST16:43:04

Distance.distance <   16 & Distance.unit = 'pc' & maintype != 'cor' & nbref   > 10
----------------------------------------------------------------------------------

Number of objects : 1568

 #  |            identifier             |typ|      coord1 (Gal,J2000/2000)      |#bib|#dist| distance Q unit|  err-        err+     | method |     reference     
175 |LSPM J1108+6830                    |BD*|136.1448431615481 +45.8933955277949|  29|    1|   16.1795  pc  |  -0.0345     +0.0345  |paral   |2020yCat.1350....0G
176 |GJ 3512                            |PM*|157.2368661124791 +36.9622565351662|  60|    1|    9.4972  pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
177 |GJ 1187                            |Er*|094.4041186713118 +52.8932552008529|  25|    1|   11.4675  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
178 |GJ 3855                            |Er*|102.2416483896970 +53.2373878026075|  66|    1|    9.969   pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
179 |2MASS J12373919+6526148            |BD*|125.23888202 +51.62901573          |  66|    1|   10.4     pc  |                       |plx     |2012ApJ...753..156K
180 |GJ 424                             |Er*|136.8665266802061 +48.7360647191941| 167|    1|    9.0719  pc  |  -0.0013     +0.0013  |paral   |2020yCat.1350....0G
181 |GJ 1133                            |WD*|145.9598212600029 +46.4865607139497|  57|    1|   15.9407  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
182 |GJ 373                             |PM*|149.2181338308900 +44.3579043137712| 113|    1|   10.521   pc  |  -0.0017     +0.0017  |paral   |2020yCat.1350....0G
183 |HD 82969                           |*  |153.7928845166264 +43.5483754592183|  28|    1|  112.443   pc  |  -0.2440     +0.2440  |paral   |2020yCat.1350....0G
184 |GJ 3542                            |PM*|157.2540947246035 +41.7757675725623|  33|    1|   15.5673  pc  |  -0.0049     +0.0049  |paral   |2020yCat.1350....0G
185 |2MASS J08575849+5708514            |BD*|159.7089384650355 +39.5152077230724|  38|    1|   13.7514  pc  |  -0.1379     +0.1379  |paral   |2020yCat.1350....0G
186 |G 193-81                           |PM*|169.1792808505328 +30.8943850078896|  21|    1|   16.0086  pc  |  -0.0076     +0.0076  |paral   |2020yCat.1350....0G
187 |2MASS J08053189+4812330            |BD*|171.0288596773810 +31.8970760721906|  33|    1|   23.4772  pc  |  -0.5382     +0.5382  |paral   |2020yCat.1350....0G
188 |LP 135-272                         |LM*|083.2688232231304 +53.1150326969951|  25|    1|   16.118   pc  |  -0.0156     +0.0156  |paral   |2020yCat.1350....0G
189 |HD 122064                          |PM*|109.6142051821063 +53.8931742098992| 107|    1|   10.067   pc  |  -0.0020     +0.0020  |paral   |2020yCat.1350....0G
190 |HD 81953                           |*  |156.0716364597550 +43.3331654813840|  14|    1|  326.254   pc  |  -1.8947     +1.8947  |paral   |2020yCat.1350....0G
191 |G 194-47                           |** |164.0519006055165 +40.3120146523901|  21|    1|   17.9424  pc  |  -0.1352     +0.1352  |paral   |2020yCat.1350....0G
192 |HD 72923                           |PM*|166.6161009876726 +37.1855232960680|  13|    1|  103.691   pc  |  -0.2763     +0.2763  |paral   |2020yCat.1350....0G
193 |GJ 602                             |PM*|067.6969787042047 +50.3179384123070| 490|    1|   15.8975  pc  |  -0.0203     +0.0203  |paral   |2020yCat.1350....0G
194 |2MASSW J1515008+484742             |BD*|080.7521730001039 +54.8864581112818|  51|    1|    9.8073  pc  |  -0.0246     +0.0246  |paral   |2020yCat.1350....0G
195 |GJ 556                             |PM*|093.5731369406790 +58.0095803786268| 130|    1|   13.233   pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
196 |G 195-59                           |PM*|154.9197653302551 +49.0187615178187|  34|    1|   10.0443  pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
197 |GJ 363                             |PM*|158.9781524695809 +45.7119080655561|  52|    1|   16.5267  pc  |  -0.0077     +0.0077  |paral   |2020yCat.1350....0G
198 |GJ 338 A                           |SB*|164.9355115033383 +42.6674940397647| 285|    1|    6.3336  pc  |  -0.0007     +0.0007  |paral   |2020yCat.1350....0G
199 |GJ 338 B                           |Er*|164.9346199308172 +42.6722746858192| 269|    1|    6.3338  pc  |  -0.0008     +0.0008  |paral   |2020yCat.1350....0G
200 |GJ 339.1                           |WD*|163.8901647998277 +42.7529802156582| 136|    1|   10.2727  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
201 |2MASS J08300825+4828482            |BD*|171.0474406224660 +35.9933113727594|  37|    1|   12.4025  pc  |  -0.3249     +0.3249  |paral   |2020yCat.1350....0G
202 |GJ 1194 B                          |PM*|069.9635831483750 +52.4167017235064|  18|    1|   12.5252  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
203 |GJ 1194 A                          |PM*|069.9656084242762 +52.4170780665720|  35|    1|   12.5228  pc  |  -0.0027     +0.0027  |paral   |2020yCat.1350....0G
204 |GJ 3907                            |** |069.6389931422880 +54.3874848147392|  38|    1|   18.8415  pc  |  -0.0384     +0.0384  |paral   |2020yCat.1350....0G
205 |GJ 575 A                           |PM*|080.3697047395511 +57.0662164263504|  46|    1|   12.9457  pc  |  -0.2015     +0.2015  |paral   |2018yCat.1345....0G
206 |GJ 575 B                           |SB*|080.3698715542741 +57.0652760563308|  54|    1|   12.806   pc  |  -0.0873     +0.0873  |paral   |2018yCat.1345....0G
207 |GJ 549 A                           |PM*|093.8321008819 +59.6525965735      | 358|    1|   14.4784  pc  |  -0.0330     +0.0330  |paral   |2020yCat.1350....0G
208 |GJ 397.1 B                         |Er*|152.721115 +51.170132              |  22|    1|   15       pc  |                       |ST-L    |2014AJ....147...20N
209 |GJ 394                             |PM*|154.2928504041445 +51.6684466375115| 125|    1|   12.919   pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
210 |GJ 395                             |PM*|154.2918166051403 +51.7025477960406| 313|    1|   12.945   pc  |  -0.0135     +0.0135  |paral   |2020yCat.1350....0G
211 |GJ 354                             |PM*|165.4623484045 +45.6498797847      | 399|    1|   13.5449  pc  |  -0.0375     +0.0375  |paral   |2020yCat.1350....0G
212 |2MASS J09083803+5032088            |BD*|168.0031220371354 +42.1282323441727|  36|    1|   10.4244  pc  |  -0.0596     +0.0596  |paral   |2020yCat.1350....0G
213 |GJ 331 B                           |** |171.5111321 +40.8362124            |  35|    1|   14.1565  pc  |  -0.1377     +0.1377  |paral   |2018yCat.1345....0G
214 |GJ 572                             |PM*|076.9964869752448 +58.4697351952573|  74|    1|   11.708   pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
215 |GJ 458 A                           |PM*|134.9444647129066 +61.7214104142359|  93|    1|   15.249   pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
216 |GJ 458 B                           |PM*|134.9403870293183 +61.7178206096587|  31|    1|   15.244   pc  |  -0.0057     +0.0057  |paral   |2020yCat.1350....0G
217 |G 196-3                            |PM*|165.1094629855496 +50.7594861575401|  74|    1|   21.808   pc  |  -0.0089     +0.0089  |paral   |2020yCat.1350....0G
218 |GJ 3586                            |PM*|163.3033739363635 +51.1821411418198|  28|    1|   13.1555  pc  |  -0.0046     +0.0046  |paral   |2020yCat.1350....0G
219 |GJ 1119                            |Er*|173.4226504806961 +41.1362724947991|  55|    1|   10.0842  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
220 |LP 222-65                          |PM*|064.0807412034200 +57.5648511234708|  19|    1|   17.642   pc  |  -0.0120     +0.0120  |paral   |2020yCat.1350....0G
221 |GJ 532                             |PM*|100.0428597463407 +64.3999026122591|  66|    1|   14.2553  pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
222 |GJ 483                             |SB*|125.6002392725630 +65.3316810213383| 152|    1|   14.5029  pc  |  -0.1023     +0.1023  |paral   |2020yCat.1350....0G
223 |GJ 380                             |Er*|165.8660957633615 +52.1456003748424| 445|    1|    4.8705  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
224 |G 195-55                           |** |168.131982312 +51.154024449        |  33|    1|   16.3     pc  |                       |ST-L    |2015ApJ...812....3W
225 |GJ 332.0                           |SB*|179.80391293 +41.18172426          | 337|    1|   18.74    pc  |  -0.2841     +0.2841  |paral   |2020yCat.1350....0G
226 |GJ 537 A                           |PM*|091.4391677730457 +66.2009658059680|  72|    1|   11.1604  pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
227 |GJ 521                             |** |099.5970062239893 +68.7081723847678|  87|    1|   13.3693  pc  |  -0.0027     +0.0027  |paral   |2020yCat.1350....0G
228 |GJ 508                             |** |109.7978837037957 +68.6215225655416| 115|    1|    9.0922  pc  |  -0.0685     +0.0685  |paral   |2018yCat.1345....0G
229 |G 177-25                           |LM*|114.0825403969074 +69.0492157650474|  55|    1|   12.1893  pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
230 |GJ 1151                            |PM*|147.8505288776846 +65.7206514915772|  96|    1|    8.0426  pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
231 |LP 220-13                          |PM*|088.7343594328276 +68.8254514563196|  26|    1|   21.6002  pc  |  -0.2712     +0.2712  |paral   |2020yCat.1350....0G
232 |LP 169-22                          |PM*|159.5968591029525 +63.3546606462140|  13|    1|   10.4688  pc  |  -0.0085     +0.0085  |paral   |2020yCat.1350....0G
233 |GJ 397                             |PM*|170.0379539643895 +56.7278069831862|  93|    1|   15.9948  pc  |  -0.0053     +0.0053  |paral   |2020yCat.1350....0G
234 |GJ 1055                            |PM*|169.5616753859120 -40.0787966985006|  39|    1|   12.586   pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
235 |GJ 123                             |PM*|176.5290304245079 -46.3782124261556| 123|    1|   14.7203  pc  |  -0.0059     +0.0059  |paral   |2020yCat.1350....0G
236 |GJ 3193                            |Er*|200.4864126300285 -58.0738016730828|  55|    1|    6.8637  pc  |  -0.0011     +0.0011  |paral   |2020yCat.1350....0G
237 |LP 772-8                           |PM*|206.2129852446120 -57.2957438164538|  11|    1|   20.0592  pc  |  -0.0097     +0.0097  |paral   |2020yCat.1350....0G
238 |GJ 3208                            |PM*|157.1742545218647 -24.5400829155885|  20|    1|   14.9102  pc  |  -0.0155     +0.0155  |paral   |2020yCat.1350....0G
239 |LP 412-31                          |LM*|165.2414131875059 -31.4142654959166| 114|    1|   14.6479  pc  |  -0.0166     +0.0166  |paral   |2020yCat.1350....0G
240 |GJ 1057                            |BY*|175.4199958570143 -43.1733739048220| 119|    1|    8.6008  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
241 |GJ 137                             |BY*|178.2232747355 -43.0721523434      | 849|    1|    9.1457  pc  |  -0.0257     +0.0257  |paral   |2018yCat.1345....0G
242 |G 77-29                            |PM*|184.8186318813926 -49.5193758094007|  13|    1|   15.2476  pc  |  -0.0079     +0.0079  |paral   |2020yCat.1350....0G
243 |LP 831-68                          |PM*|211.1831628932183 -56.5036084808813|  11|    1|   17.496   pc  |  -0.0060     +0.0060  |paral   |2020yCat.1350....0G
244 |LP 831-45                          |PM*|213.9584935478764 -57.5327186322804|  19|    1|   15.8981  pc  |  -0.0127     +0.0127  |paral   |2020yCat.1350....0G
245 |* alf For                          |** |224.7304072518 -59.0303227283      | 258|    1|   13.9505  pc  |  -0.0597     +0.0597  |paral   |2018yCat.1345....0G
246 |GJ 127 B                           |PM*|224.7288954976669 -59.0314539001712|  15|    1|   14.0827  pc  |  -0.0173     +0.0173  |paral   |2020yCat.1350....0G
247 |RX J0332.6+2843                    |** |160.663454812 -22.091563415        |  30|    1|   11       pc  |                       |ST-L    |2006AJ....132..866R
248 |GJ 3227                            |Er*|161.4659625151943 -24.3708312651633|  32|    1|   15.353   pc  |  -0.0077     +0.0077  |paral   |2020yCat.1350....0G
249 |GJ 141.0                           |PM*|189.1359092093076 -47.4892258097630| 156|    1|   15.3232  pc  |  -0.0065     +0.0065  |paral   |2020yCat.1350....0G
250 |GJ 144.0                           |BY*|195.8446406895699 -48.0512999525119|1806|    1|    3.2198  pc  |  -0.0014     +0.0014  |paral   |2020yCat.1350....0G
251 |GJ 142                             |SB*|209.90771259 -53.53619411          | 116|    1|   12.49    pc  |  -0.15       +0.15    |ST-L    |2010MNRAS.403.1949K
252 |LP 888-18                          |PM*|228.5246855022926 -54.9735308948382|  29|    1|   12.5083  pc  |  -0.0086     +0.0086  |paral   |2020yCat.1350....0G
253 |LSPM J0336+3118                    |PM*|159.5923341175333 -19.5937852251992|  31|    1|   13.660   pc  |  -0.0084     +0.0084  |paral   |2020yCat.1350....0G
254 |2MASSW J0335020+234235             |LM*|164.6061071958501 -25.6310296054175|  50|    1|   50.698   pc  |  -0.2311     +0.2311  |paral   |2020yCat.1350....0G
255 |RX J0342.5+1216                    |** |175.0498063929385 -32.7814754064518|  25|    1|   33.019   pc  |  -0.0215     +0.0215  |paral   |2020yCat.1350....0G
256 |GJ 3237                            |Er*|181.9246683081449 -39.7560278809297|  35|    1|   26.776   pc  |  -0.0253     +0.0253  |paral   |2020yCat.1350....0G
257 |GJ 147                             |PM*|185.1245346367091 -41.6669893930562| 542|    1|   13.9204  pc  |  -0.0291     +0.0291  |paral   |2020yCat.1350....0G
258 |LP 653-13                          |PM*|195.1187655155251 -46.9804909243878|  18|    1|   13.0526  pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
259 |GJ 150.0                           |*  |198.0872406424610 -45.9958115630291| 574|    1|    9.0888  pc  |  -0.0160     +0.0160  |paral   |2020yCat.1350....0G
260 |HD 23356                           |PM*|210.8832111405639 -49.7380150138294| 126|    1|   13.949   pc  |  -0.0112     +0.0112  |ST-L    |2020AJ....160...83S
261 |LP 944-20                          |LM*|236.6714732448733 -53.4115317416368| 276|    1|    6.4268  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
262 |GJ 154                             |Er*|164.9278626803607 -22.0603121550746| 120|    1|   14.3855  pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
263 |LP 357-56                          |PM*|167.8623642464816 -22.1991780622005|  15|    1|   13.3353  pc  |  -0.0100     +0.0100  |paral   |2020yCat.1350....0G
264 |GJ 3253                            |SB*|173.0991140895497 -27.7100110879076|  64|    1|    9.6617  pc  |  -0.0082     +0.0082  |paral   |2020yCat.1350....0G
265 |GJ 3250                            |PM*|179.1651550088334 -34.3424990651559|  34|    1|   12.4914  pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
266 |GJ 3252                            |LM*|189.2603883556500 -39.6010989869234|  59|    1|   14.6796  pc  |  -0.0146     +0.0146  |paral   |2020yCat.1350....0G
267 |GJ 156                             |PM*|196.4972166771375 -42.0976184780177|  95|    1|   15.6706  pc  |  -0.0055     +0.0055  |paral   |2020yCat.1350....0G
268 |GJ 1065                            |Er*|194.9812142480056 -42.5381775864533|  58|    1|    9.9275  pc  |  -0.0040     +0.0040  |paral   |2020yCat.1350....0G
269 |GJ 157 A                           |Er*|190.7496488376272 -38.4341658868069| 133|    1|   15.284   pc  |  -0.0055     +0.0055  |paral   |2020yCat.1350....0G
270 |GJ 157 B                           |SB*|190.7471685221081 -38.4318012926384|  61|    1|   15.269   pc  |  -0.0103     +0.0103  |paral   |2020yCat.1350....0G
271 |GJ 162                             |** |163.3716879649100 -13.3346967656025|  69|    1|   13.9233  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
272 |GJ 3270                            |Er*|184.5754607468678 -28.5499128103376|  48|    1|   14.5854  pc  |  -0.0080     +0.0080  |paral   |2020yCat.1350....0G
273 |GJ 166 C                           |Er*|200.7690761795304 -38.0302872938784| 203|    1|    5.0137  pc  |  -0.0017     +0.0017  |paral   |2020yCat.1350....0G
274 |1RXS J041417.0-090650              |EB?|202.2538050510786 -38.9520392103204|  36|    1|   24.771   pc  |  -0.0176     +0.0176  |paral   |2020yCat.1350....0G
275 |GJ 166 B                           |WD*|200.7723625981043 -38.0304778950289| 323|    1|    5.0077  pc  |  -0.0012     +0.0012  |paral   |2020yCat.1350....0G
276 |2MASSI J0415195-093506             |BD*|202.94177387 -38.94172941          | 154|    1|    5.6     pc  |                       |plx     |2012ApJ...753..156K
277 |GJ 166 A                           |Er*|200.7527660601597 -38.0478172974726| 774|    1|    5.0098  pc  |  -0.0030     +0.0030  |paral   |2020yCat.1350....0G
